id,kategori,judul,isi,tanggal,sumber,sentimen,kata_kunci
71,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2024-11-12,Bisnis Today,negatif,"inflasi, penurunan, pelemahan, krisis, utang"
316,ekonomi,Investasi Asing Masuk Capai Rekor Baru,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2025-02-08,Market Insight,positif,"surplus, pertumbuhan, stabilitas, rupiah, pasar saham"
166,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2024-09-21,Finansial News,positif,"pasar saham, surplus, pertumbuhan, rupiah, stabilitas"
159,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-04-21,Finansial News,positif,"investasi, surplus, pasar saham, stabilitas, pertumbuhan"
234,ekonomi,Defisit Neraca Perdagangan Meningkat Tajam,Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2023-11-10,Ekonomi Update,negatif,"penurunan, pelemahan, krisis, PHK, utang"
280,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-03-09,Market Insight,positif,"peningkatan, stabilitas, surplus, rupiah, pertumbuhan"
128,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-03-12,Ekonomi Update,positif,"peningkatan, surplus, pasar saham, stabilitas, pertumbuhan"
38,ekonomi,Defisit Neraca Perdagangan Meningkat Tajam,Kenaikan harga pangan dan energi membuat tekanan inflasi meningkat. Pemerintah diminta segera mengambil langkah untuk menekan dampak sosial ekonomi.,2023-09-22,Ekonomi Update,negatif,"inflasi, pelemahan, PHK, utang, krisis"
454,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-10-25,Investor Daily,positif,"investasi, rupiah, pasar saham, surplus, stabilitas"
271,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2024-05-20,Ekonomi Update,positif,"peningkatan, pasar saham, rupiah, investasi, pertumbuhan"
44,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2025-08-03,Market Insight,positif,"pertumbuhan, pasar saham, peningkatan, surplus, investasi"
271,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2024-05-20,Ekonomi Update,positif,"peningkatan, pasar saham, rupiah, investasi, pertumbuhan"
5,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2025-09-27,Finansial News,positif,"pertumbuhan, rupiah, peningkatan, surplus, pasar saham"
348,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-07-18,Investor Daily,positif,"surplus, pasar saham, pertumbuhan, peningkatan, investasi"
337,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2025-04-16,Investor Daily,negatif,"inflasi, utang, defisit, PHK, penurunan"
171,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-02-14,Ekonomi Update,positif,"rupiah, pertumbuhan, surplus, investasi, peningkatan"
90,ekonomi,Defisit Neraca Perdagangan Meningkat Tajam,Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2025-09-24,Market Insight,negatif,"defisit, inflasi, PHK, krisis, pelemahan"
243,ekonomi,Krisis Energi Tekan Pertumbuhan Ekonomi,Nilai tukar rupiah kembali melemah akibat sentimen global dan tingginya ketidakpastian ekonomi dunia.,2023-08-16,Investor Daily,negatif,"krisis, utang, pelemahan, defisit, PHK"
266,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2025-04-22,Finansial News,negatif,"defisit, penurunan, krisis, inflasi, utang"
150,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2025-01-08,Bisnis Today,positif,"stabilitas, investasi, pertumbuhan, peningkatan, surplus"
143,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-02-02,Market Insight,positif,"pasar saham, investasi, pertumbuhan, stabilitas, rupiah"
85,ekonomi,Rupiah Melemah Terhadap Dolar AS,Kenaikan harga pangan dan energi membuat tekanan inflasi meningkat. Pemerintah diminta segera mengambil langkah untuk menekan dampak sosial ekonomi.,2024-01-09,Finansial News,negatif,"pelemahan, utang, penurunan, PHK, inflasi"
415,ekonomi,Krisis Energi Tekan Pertumbuhan Ekonomi,Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2023-07-21,Ekonomi Update,negatif,"PHK, penurunan, krisis, pelemahan, utang"
378,ekonomi,Rupiah Melemah Terhadap Dolar AS,Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2023-04-15,Ekonomi Update,negatif,"defisit, utang, pelemahan, krisis, inflasi"
241,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-03-13,Bisnis Today,positif,"rupiah, surplus, investasi, stabilitas, pertumbuhan"
280,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-03-09,Market Insight,positif,"peningkatan, stabilitas, surplus, rupiah, pertumbuhan"
9,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-01-26,Finansial News,positif,"pertumbuhan, investasi, peningkatan, stabilitas, surplus"
66,ekonomi,PHK Massal Terjadi di Sektor Manufaktur,Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2024-06-07,Finansial News,negatif,"krisis, pelemahan, inflasi, utang, penurunan"
51,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-07-22,Ekonomi Update,positif,"peningkatan, investasi, pasar saham, surplus, pertumbuhan"
304,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-02-24,Investor Daily,positif,"peningkatan, stabilitas, surplus, rupiah, investasi"
261,ekonomi,Defisit Neraca Perdagangan Meningkat Tajam,Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2023-01-01,Ekonomi Update,negatif,"utang, penurunan, pelemahan, PHK, defisit"
364,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2024-05-15,Finansial News,positif,"pasar saham, investasi, pertumbuhan, rupiah, peningkatan"
224,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-08-16,Ekonomi Update,positif,"pertumbuhan, investasi, surplus, rupiah, peningkatan"
104,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-04-13,Finansial News,positif,"pertumbuhan, rupiah, pasar saham, surplus, peningkatan"
447,ekonomi,Krisis Energi Tekan Pertumbuhan Ekonomi,Kenaikan harga pangan dan energi membuat tekanan inflasi meningkat. Pemerintah diminta segera mengambil langkah untuk menekan dampak sosial ekonomi.,2024-01-27,Finansial News,negatif,"defisit, penurunan, utang, PHK, krisis"
35,ekonomi,Defisit Neraca Perdagangan Meningkat Tajam,Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2024-05-13,Ekonomi Update,negatif,"krisis, utang, penurunan, pelemahan, PHK"
159,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-04-21,Finansial News,positif,"investasi, surplus, pasar saham, stabilitas, pertumbuhan"
304,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-02-24,Investor Daily,positif,"peningkatan, stabilitas, surplus, rupiah, investasi"
413,ekonomi,Krisis Energi Tekan Pertumbuhan Ekonomi,Nilai tukar rupiah kembali melemah akibat sentimen global dan tingginya ketidakpastian ekonomi dunia.,2024-01-17,Finansial News,negatif,"pelemahan, inflasi, utang, defisit, penurunan"
34,ekonomi,Rupiah Melemah Terhadap Dolar AS,Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2023-04-01,Bisnis Today,negatif,"PHK, pelemahan, defisit, penurunan, inflasi"
139,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2023-03-16,Investor Daily,positif,"surplus, pasar saham, peningkatan, pertumbuhan, stabilitas"
307,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2023-09-10,Market Insight,positif,"pasar saham, rupiah, surplus, stabilitas, pertumbuhan"
77,ekonomi,Rupiah Melemah Terhadap Dolar AS,Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2023-09-21,Bisnis Today,negatif,"defisit, PHK, inflasi, utang, krisis"
442,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-01-01,Bisnis Today,positif,"stabilitas, peningkatan, surplus, pertumbuhan, investasi"
270,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-04-30,Market Insight,positif,"rupiah, pertumbuhan, pasar saham, peningkatan, surplus"
62,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2024-09-16,Market Insight,positif,"pasar saham, surplus, stabilitas, peningkatan, pertumbuhan"
221,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2025-06-12,Finansial News,negatif,"utang, inflasi, penurunan, pelemahan, defisit"
123,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-09-11,Market Insight,positif,"pertumbuhan, stabilitas, pasar saham, investasi, peningkatan"
109,ekonomi,PHK Massal Terjadi di Sektor Manufaktur,Nilai tukar rupiah kembali melemah akibat sentimen global dan tingginya ketidakpastian ekonomi dunia.,2024-08-12,Finansial News,negatif,"inflasi, defisit, utang, krisis, pelemahan"
254,ekonomi,PHK Massal Terjadi di Sektor Manufaktur,Defisit perdagangan meningkat seiring penurunan ekspor dan naiknya harga impor barang modal.,2024-12-28,Ekonomi Update,negatif,"utang, defisit, penurunan, krisis, inflasi"
398,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-07-12,Investor Daily,positif,"pasar saham, investasi, peningkatan, stabilitas, surplus"
8,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2025-01-18,Ekonomi Update,positif,"peningkatan, surplus, investasi, pasar saham, stabilitas"
185,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Nilai tukar rupiah kembali melemah akibat sentimen global dan tingginya ketidakpastian ekonomi dunia.,2024-04-21,Ekonomi Update,negatif,"inflasi, defisit, PHK, pelemahan, utang"
132,ekonomi,Rupiah Melemah Terhadap Dolar AS,Kenaikan harga pangan dan energi membuat tekanan inflasi meningkat. Pemerintah diminta segera mengambil langkah untuk menekan dampak sosial ekonomi.,2025-07-31,Bisnis Today,negatif,"PHK, penurunan, defisit, pelemahan, utang"
363,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2024-03-17,Finansial News,positif,"pasar saham, pertumbuhan, peningkatan, surplus, rupiah"
51,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-07-22,Ekonomi Update,positif,"peningkatan, investasi, pasar saham, surplus, pertumbuhan"
163,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2023-02-11,Bisnis Today,negatif,"utang, PHK, penurunan, krisis, defisit"
154,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2024-01-10,Bisnis Today,positif,"pertumbuhan, surplus, peningkatan, investasi, stabilitas"
433,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-02-01,Finansial News,positif,"pasar saham, surplus, peningkatan, rupiah, pertumbuhan"
317,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2024-12-19,Finansial News,positif,"rupiah, peningkatan, surplus, stabilitas, pasar saham"
68,ekonomi,PHK Massal Terjadi di Sektor Manufaktur,Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2025-07-26,Investor Daily,negatif,"krisis, PHK, pelemahan, utang, penurunan"
27,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-02-03,Finansial News,positif,"investasi, peningkatan, stabilitas, rupiah, pertumbuhan"
427,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2025-06-30,Market Insight,positif,"pasar saham, investasi, stabilitas, pertumbuhan, peningkatan"
95,ekonomi,Krisis Energi Tekan Pertumbuhan Ekonomi,Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2023-02-08,Finansial News,negatif,"pelemahan, krisis, defisit, utang, PHK"
252,ekonomi,Rupiah Melemah Terhadap Dolar AS,Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2023-09-26,Ekonomi Update,negatif,"pelemahan, inflasi, utang, defisit, PHK"
371,ekonomi,PHK Massal Terjadi di Sektor Manufaktur,Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2025-07-27,Market Insight,negatif,"pelemahan, PHK, defisit, inflasi, utang"
302,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2024-03-10,Market Insight,positif,"pasar saham, peningkatan, surplus, stabilitas, pertumbuhan"
317,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2024-12-19,Finansial News,positif,"rupiah, peningkatan, surplus, stabilitas, pasar saham"
182,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-01-11,Bisnis Today,positif,"pasar saham, pertumbuhan, stabilitas, investasi, rupiah"
342,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2023-01-05,Ekonomi Update,positif,"pasar saham, surplus, rupiah, peningkatan, stabilitas"
253,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2025-03-15,Finansial News,positif,"investasi, peningkatan, rupiah, pasar saham, stabilitas"
122,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2024-11-19,Ekonomi Update,positif,"pasar saham, stabilitas, pertumbuhan, surplus, rupiah"
16,ekonomi,Rupiah Melemah Terhadap Dolar AS,Krisis energi yang melanda kawasan Asia menurunkan tingkat produksi industri nasional.,2023-09-01,Bisnis Today,negatif,"PHK, utang, penurunan, inflasi, pelemahan"
301,ekonomi,Investasi Asing Masuk Capai Rekor Baru,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-08-16,Investor Daily,positif,"stabilitas, pertumbuhan, peningkatan, pasar saham, investasi"
324,ekonomi,"Inflasi Naik, Harga Pangan Semakin Mahal",Sejumlah perusahaan manufaktur melakukan pemutusan hubungan kerja massal karena menurunnya permintaan pasar.,2023-07-06,Investor Daily,negatif,"krisis, PHK, penurunan, utang, defisit"
171,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-02-14,Ekonomi Update,positif,"rupiah, pertumbuhan, surplus, investasi, peningkatan"
186,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2025-02-24,Ekonomi Update,positif,"stabilitas, pertumbuhan, investasi, peningkatan, pasar saham"
209,ekonomi,Rupiah Menguat di Tengah Ketidakpastian Global,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2023-09-17,Ekonomi Update,positif,"rupiah, pertumbuhan, stabilitas, peningkatan, pasar saham"
280,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-03-09,Market Insight,positif,"peningkatan, stabilitas, surplus, rupiah, pertumbuhan"
5,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2025-09-27,Finansial News,positif,"pertumbuhan, rupiah, peningkatan, surplus, pasar saham"
51,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Ekonomi Indonesia menunjukkan tanda-tanda pemulihan yang kuat setelah mengalami tekanan global. Analis menilai kebijakan fiskal pemerintah cukup efektif dalam menjaga stabilitas pasar.,2023-07-22,Ekonomi Update,positif,"peningkatan, investasi, pasar saham, surplus, pertumbuhan"
294,ekonomi,Pasar Saham Indonesia Mengalami Kenaikan,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2024-01-15,Investor Daily,positif,"stabilitas, pertumbuhan, rupiah, investasi, peningkatan"
382,ekonomi,Kinerja Ekspor Indonesia Meningkat Signifikan,"Nilai tukar rupiah menguat terhadap dolar AS, didukung oleh arus masuk investasi asing dan peningkatan cadangan devisa nasional.",2023-11-03,Finansial News,positif,"investasi, stabilitas, rupiah, peningkatan, surplus"
203,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Peningkatan daya beli masyarakat dan dukungan stimulus ekonomi menjadi faktor utama penggerak pertumbuhan domestik.,2023-11-10,Investor Daily,positif,"rupiah, surplus, pertumbuhan, peningkatan, pasar saham"
401,ekonomi,Pertumbuhan Ekonomi Nasional Meningkat,Investor global kembali melirik pasar Indonesia karena potensi pertumbuhan jangka panjang yang menarik.,2023-02-19,Investor Daily,positif,"surplus, investasi, peningkatan, pasar saham, pertumbuhan"
